country,name,address,latitude,longitude
Australia,Springvale,"IKEA, 917, Princes Highway, Springvale, City of Greater Dandenong, Victoria, VICTORIA, Australia",-37.9265315,145.1439079
Australia,Richmond,"IKEA, Vickers Drive, Richmond, City of Yarra, Victoria, 3121, Australia",-37.81229155,145.01114104467587
Australia,Canberra,"IKEA, Majura Road, Canberra Airport, District of Majura, Australian Capital Territory, 2609, Australia",-35.294783100000004,149.18698860546888
Australia,Tempe,"IKEA, M8 Motorway Tunnel, St Peters, Sydney, Inner West Council, New South Wales, 2044, Australia",-33.9226307,151.16548626991158
Australia,Rhodes,"IKEA Pick Up, Rhodes, Sydney, City of Canada Bay Council, New South Wales, 2138, Australia",-33.8363348,151.0855452
Australia,Marsden Park,"IKEA, Richmond Road cycleway, Marsden Park, Sydney, Blacktown City Council, New South Wales, 2765, Australia",-33.71926165,150.84258626979073
Australia,Perth,"IKEA, Ellen Stirling Boulevard, Innaloo, Perth, Western Australia, 6134, Australia",-31.8967189,115.803864873899
Australia,Adelaide,"IKEA, James Schofield Drive, Adelaide Airport, City of West Torrens, South Australia, 5950, Australia",-34.934244199999995,138.53837202624896
Australia,Logan,"Ikea Warehouse, 3539-3565, Pacific Highway, Springwood, Logan City, Queensland, 4127, Australia",-27.6352951,153.13287806172013
Australia,North Lakes,"IKEA, ramp, Halpine Lakes, North Lakes, Caboolture, Queensland, 4510, Australia",-27.2434268,153.0157729
Canada,Calgary,"IKEA, 11 Street SE, Deerfoot Meadows, East Fairview Industrial, Calgary, Alberta, T2H 3B8, Canada",50.9809281,-114.04322433982959
Canada,Edmonton,"IKEA, 1311, Gateway Boulevard NW, South Edmonton Common, Edmonton, Alberta, T6N 1M3, Canada",53.443752849999996,-113.4892936465147
Canada,Coquitlam,"IKEA Coquitlam, 1000, Lougheed Highway, Maillardville, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 3T5, Canada",49.234506249999995,-122.86668133480941
Canada,Richmond,"Ikea Richmond, 3320, Jacombs Road, Crestwood, East Cambie, Richmond, Metro Vancouver Regional District, British Columbia, Canada",49.189441099999996,-123.07909620132642
Canada,Winnipeg,"Ikea, Kenaston Boulevard, Tuxedo Industrial, Winnipeg, Winnipeg (city), Manitoba, R3P 2N3, Canada",49.839118049999996,-97.21173044827097
Canada,Halifax,"Ikea, 645, Cutler Avenue, Dartmouth Crossing, Burnside, Dartmouth, Halifax Regional Municipality, Nova Scotia, B3B 0M2, Canada",44.7130266,-63.5576319
Canada,Burlington,"IKEA, 1065, Plains Road East, La Salle, Nelson, Burlington, Halton Region, Golden Horseshoe, Ontario, L7T 4K1, Canada",43.3280846,-79.8291401980623
Canada,Etobicoke,"IKEA, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, Canada",43.6180653,-79.53432002516018
Canada,North York,"IKEA, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2K 2X9, Canada",43.7675968,-79.3683443493534
Canada,Ottawa,"IKEA, 2685, Iris Street, Parkway Park, College, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K2C 1E6, Canada",45.350489499999995,-75.78386927406417
Canada,Vaughan,"IKEA, Exchange Way, Vaughan Metropolitan Centre, Concord, Vaughan, York Region, Golden Horseshoe, Ontario, L4K 5R6, Canada",43.7872732,-79.52931452204723
Canada,Boucherville,"IKEA, Autoroute Jean-Lesage, Boucherville, Longueuil (agglomeration), Montérégie, Québec, J4B 7L4, Canada",45.57267965,-73.40123750227377
Canada,Montreal,"IKEA, 9191, Boulevard Cavendish, Bois-Francs, Saint-Laurent, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4T 1M8, Canada",45.49193375,-73.69104531233207
Canada,Québec,"IKEA, 3400, Avenue Blaise-Pascal, Cap-Rouge, Sainte-Foy–Sillery–Cap-Rouge, Québec, Québec (Agglomération), Capitale-Nationale, Québec, G1X 0E4, Canada",46.776493599999995,-71.34816815323755
Denmark,Aalborg,"IKEA, Krebsen, City Syd, Skalborg, Aalborg, Aalborg Kommune, Region Nordjylland, 9200, Danmark",56.9959774,9.864966027653285
Denmark,Aarhus,"IKEA, Graham Bells Vej, Christiansbjerg, Aarhus, Aarhus Kommune, Region Midtjylland, 8200, Danmark",56.202866,10.181239729483778
Denmark,Odense,"IKEA, Stærmosegårdsvej, Herluf Trolle Parken, Cortex Park, Odense, Odense Kommune, Region Syddanmark, 5230, Danmark",55.38055935,10.429776474393261
Denmark,Gentofte,"IKEA, Lyngbyvej, Vangede, Jægersborg, Gentofte Kommune, Region Hovedstaden, 2820, Danmark",55.7532973,12.520465253599939
Denmark,Taastrup,"Ikea Taastrup, Mårkærvej, Høje Taastrup, Taastrup, Høje-Taastrup Kommune, Region Hovedstaden, 2630, Danmark",55.659357400000005,12.2865437
France,Avignon,"IKEA, Chemin Archicotes, ZA Les Saffranières, Vedène, Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84270, France",43.97828055,4.891090036200591
France,Bayonne,"IKEA, 1, Avenue du Portou, Centre européen de Fret, Saint-Pierre-d'Irube, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64496, France",43.4791424,-1.444587771283255
